Day,min,max,bins,,
1,0.0061,0.0298,0.0339,,
2,0.0508,0.0639,0.0678,,
3,0.0849,0.0979,0.1017,,
4,0.1190,0.1319,0.1356,,
5,0.1531,0.1659,0.1695,,
6,0.1873,0.2000,0.2034,,
7,0.2214,0.2340,0.2373,,
8,0.2555,0.2680,0.2712,,
9,0.2896,0.3021,0.3051,,
10,0.3237,0.3361,0.3390,,
11,0.3578,0.3701,0.3729,,
12,0.3920,0.4041,0.4068,,
13,0.4261,0.4382,0.4407,,
14,0.4602,0.4722,0.4746,,
15,0.4943,0.5062,0.5085,,
16,0.5284,0.5402,0.5424,,
17,0.5625,0.5743,0.5763,,
18,0.5967,0.6083,0.6102,,
19,0.6308,0.6423,0.6441,,
20,0.6649,0.6764,0.6780,,
21,0.6990,0.7104,0.7119,,
22,0.7331,0.7444,0.7458,,
23,0.7672,0.7784,0.7797,,
24,0.8014,0.8125,0.8136,,
25,0.8355,0.8465,0.8475,,
26,0.8696,0.8805,0.8814,,
27,0.9037,0.9146,0.9153,,
28,0.9378,0.9486,0.9492,,
29,0.9719,0.9826,0.9831,,
30,0.9958,0.9958,1.0000,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
